title,ingredients,time,ratings,type,instructions
Pasta alla carbonara di zucchine,"['Farfalle', 'Zucchine', 'Tuorli', 'Pecorino', ""Olio  d'oliva"", 'Sale', 'Pepe nero', 'Pecorino in scaglie']",25,4.3,Primi piatti,"Per realizzare la pasta alla carbonara di zucchine per prima cosa lavate e spuntate le zucchine, quindi tagliatele a bastoncini 1 e da questi ricavate dei dadini 2 . Nel frattempo ponete sul fuoco una pentola colma di acqua salata e portate al bollore, servirà per la cottura della pasta. In un tegame scaldate l'olio di oliva 3 .
Aggiungete le zucchine 4 e rosolatele per circa 6-7 minuti a fuoco vivace, devono rimanere croccanti. In una ciotola versate i tuorli e il pecorino 5 e mescolate con la frusta 6 .
Versate un mestolo di acqua di cottura della pasta 7 e mescolate per ottenere un composto cremoso 8 . Intanto cuocete la pasta per il tempo indicato sulla confezione 9 .
Salate e pepate le zucchine rosolate 10 e quando la pasta sarà pronta, scolatela direttamente nel tegame 11 . A fuoco spento incorporate il composto di tuorli e formaggio 12 .
Mescolate per amalgamare 13 , servite la pasta alla carbonara di zucchine 14 guarnendo i piatti con scaglie di pecorino a piacere 15 ."
Dolce presto fatto,"['Zucchero', 'Farina', 'Burro', 'Uova', 'Latte intero', 'Scorza di limonen trattato', 'Baccello di vaniglia', 'Lievito in polvere per dolci']",70,4.3,Dolci,"Per preparare il dolce presto fatto, fate fondere il burro a fuoco bassissimo e lasciate intiepidire. In una ciotola versate le uova a temperatura ambiente e lo zucchero 1 , lavorate fino ad ottenere un composto spumoso, quindi aromatizzate con i semini di 1 bacca di vaniglia 2 e la scorza grattugiata del limone 3 .
Versate la farina e il lievito setacciati poco alla volta 4 lavorando sempre con le fruste il composto. Una volta che le polveri saranno assorbite, unite anche il burro fuso e intiepidito 5 . Quando sarà assorbito, versate per ultimo il latte a temperatura ambiente 6 e lavorate ancora.
Versate il composto in uno stampo a ciambella del diametro di 22 cm 7 . Infornate e cuocete il dolce in forno statico preriscaldato a 170° per circa 50 minuti. Prima di sfornare accertatevi che il dolce sia cotto con la prova dello stecchino: se estraendolo sarà asciutto, vorrà dire che il dolce è pronto. Lasciate intiepidire il dolce presto fatto, poi sformatelo su una gratella per lasciarlo raffreddare completamente e completate la vostra ricetta del dolce presto fatto con una spolverata di zucchero a velo 8 9 ."
Biscotti al miele,"['Burro', 'Miele', 'Uova medie', 'Cannella in polvere', 'Chiodi diarofano macinati', 'Zucchero', 'Lievito in polvere per dolci', 'Farina', 'Acqua', 'Zucchero a velo', 'Codetta']",35,4.2,Dolci,"Per preparare i biscotti al miele, iniziate ponendo in una ciotola capiente (o sopra una spianatoia), 300 g di farina a fontana (restate indietro di una 50ina di g e regolatevi se vi servirà successivamente), lo zucchero, il burro, il miele (meglio di tipo più compatto) 1 , le due uova, le spezie e il lievito 2 ; mettete tutto in una planetaria e impastate bene gli ingredienti fino ad ottenere un impasto omogeneo e liscio.
Se l'impasto dovesse risultare troppo molle e appiccicoso (a causa della tipologia di miele utilizzata), aggiungete fino a 50 g massimo di farina 4 . Avvolgete l’impasto nella pellicola trasparente 5 e ponetelo in frigorifero per almeno un' ora.Trascorso il tempo necessario, prendete l’impasto e stendetelo su di una spianatoia, dandogli uno spessore di circa ½ cm; con stampini di varie forme 6 , ricavate varie sagome dall’impasto, che a mano a mano adagerete su di una teglia foderata con carta forno, distanziandole di 2-3 cm una dall’altra. Quando avrete riempito la prima teglia, infornatela a 180° per circa 15 minuti (o non appena i bordi dei biscotti cominceranno a colorirsi leggermente). Nel frattempo preparate la glassa all'acqua, seguendo le indicazioni che trovate cliccando qui . Quando i biscotti si saranno raffreddati potete decorarli con la glassa con l'aiuto di un cucchiaino e poi con la codetta o gli zuccherini.Se non gradite particolarmente la glassa sopra i biscotti, in alternativa, prima di infornarli, potete applicare al centro di ognuno di essi mezza mandorla sbucciata, e spennellarli poi interamente con dell’uovo sbattuto, che dopo la cottura, li renderà lucidi ed invitanti. Lasciate asciugare la glassa dei biscotti e poi conservateli in una scatola di latta."
Burger buns (panini da burger),"['Farina Manitoba', 'Acqua', 'Lievito di birra fresco', 'Farina Manitoba', 'Farina', 'Latte intero', 'Miele di acacia', 'Sale', 'Burro morbido', 'Uova', 'Tuorli', ""Olio  d'oliva"", 'Tuorli', 'Latte intero', 'Semi di sesamo']",75,4.4,Lievitati,"Per preparare i burger buns iniziate dalla biga. Versate l'acqua in una ciotola, aggiungete il lievito di birra e mescolate per farlo sciogliere 1 . Versate il composto ottenuto in un'altra ciotola dove avrete già sistemato la farina. Impastate velocemente prima con una forchetta e poi con le mani 3 .
Dovrete ottenere un composto sbricioloso, non ben amalgamato 4 . Coprite con pellicola e lasciate maturare per 2 ore a temperatura ambiente 5 , o sino a che non sarà raddoppiata di volume 6 .
Nella ciotola della planetaria versate le due farine 7 , aggiungete la biga maturata 8 e il miele 9 .
Unite anche il latte 10 , quindi montate il gancio 11 e iniziate a lavorare gli ingredienti 12 .
Aggiungete quindi l’uovo 13 e, dopo che sarà stato assorbito, anche il tuorlo 14 . Continuate a lavorare gli ingredienti con il gancio 15 sino ad ottenere un impasto ben incordato e liscio.
A questo punto versate lentamente l’olio, aggiungete il sale 17 e aspettate che entrambi gli ingredienti siano ben assorbiti prima di aggiungere il burro, un pezzetto per volta 18 .
Lavorate l’impasto sino a completo assorbimento del burro fino a che risulterà morbido, liscio e ben incordato 19 . Trasferitelo poi su un piano 20 e formate una sfera con l’impasto 21 .
Trasferite in una ciotola 22 , coprite con un piatto 23 , o con della pellicola, e lasciate lievitare per 2 ore a temperatura ambiente, o comunque sino a che non sarà raddoppiato di volume 24 .
Trascorso il tempo di lievitazione trasferite l’impasto sul piano di lavoro 25 e dividetelo in pezzi da 110 g l'uno 26 , dovrete ricavarne 8 27 .
Prendete ora il primo pezzetto e allargatelo sul piano 28 . Portate i due lembi laterali verso il centro 29 e poi anche gli altri 30 .
Capovolgete l'impasto 31 e con la mano pirlatelo in modo da ottenere una sfera ben soda 32 . Ripetete la stessa operazione e man mano trasferite i buns ottenuti su una placca rivestita con carta forno, distanziandoli tra di loro 33 .
Coprite con una seconda leccarda 34 e lasciate lievitare ancora per 30 minuti. Poi sbattete il tuorlo con il latte 35 e utilizzatelo per spennellare i panini 36 .
Spolverizzate con semi di sesamo bianco 37 e cuocete in forno statico preriscaldato a 190° per 25-30 min. Sfornate e lasciate intiepidire prima di servire i vostri burger buns 39 !"
Torta cremosa di mele,"['Mele Golden pulite', 'Uova', 'Latte intero', 'Burro', 'Zucchero', 'Farina', 'Cannella in polvere', 'Sale', 'Zucchero di canna']",65,4.1,Dolci,"Per preparare la torta cremosa di mele sbucciate le mele, eliminate il torsolo interno: il peso deve essere 700 g da pulite 1 . Affettatele molto sottilmente 2 e tenetele da parte 3 .
Scaldate sul fuoco latte e burro 4 , fino a fare sciogliere quest'ultimo 5 . Poi lasciate intiepidire. Nel frattempo, sbattete le uova 6 .
Unite anche zucchero 7 insieme alla cannella 8 (o scorza di limone) e il sale 9 .
Aggiungete la farina 10 e mescolate per farla assorbire. In ultimo, unite a filo, e mescolando, il composto di latte e burro 11 . Il composto deve risultare omogeneo e senza grumi 12 .
Incorporate per ultime le mele 13 e mescolate delicatamente per ricoprirle nella pastella. Versate l'impasto in uno stampo da 24 cm imburrato e cosparso di zucchero 14 . Livellatelo leggermente 15 .
Cospargete la superficie con zucchero di canna 16 e cuocete in forno statico preriscaldato a 190° per circa 45 minuti- o fino a quando la superficie risulterà dorata e caramellata 17 . Fate raffreddare la torta cremosa di mele prima di servirla 18 ."
Peperonata,"['Peperoni rossi,ialli, verdi', 'Cipolle rosse di Tropea', 'Passata di pomodoro', ""Olio  d'oliva"", 'Aglio  spicchi', 'Sale', 'Pepe nero']",65,4.1,Contorni,"Per preparare la peperonata, lavate e asciugate i peperoni. Quindi affettateli per lungo, tutto attorno al torsolo 1 , togliete i filamenti bianchi e riduceteli a falde sottili 2 . Mondate e affettate anche le cipolle 3 .
In un tegame capiente versate un filo d'olio e gli spicchi d'aglio mondati ma interi 4 . Fate scaldare quindi unite le cipolle 5 . Fate stufare le cipolle a fuoco medio-basso per circa 15 minuti mescolando di tanto in tanto. Quando saranno ammorbidite e avranno rilasciato la loro acqua 6 ,
versate i peperoni 7 . Aggiustate di sale 8 e pepe, quindi mescolate 9
e coprite con un coperchio 10 : cuocete i peperoni per altri 15 minuti circa, a fuoco medio. Passato questo tempo i peperoni saranno ammorbiditi 11 , eliminate gli spicchi di aglio, versate la passata di pomodoro 12 ,
mescolate 13 e cuocete ancora per 15 minuti sempre con il coperchio 14 . Terminata la cottura la vostra peperonata è pronta per essere gustata 15 calda, tiepida o anche fredda per accompagnare secondi di carne, pesce o formaggi!"
Torta al limone,"['Amido di mais', 'Farina', 'Burro ammorbidito', 'Zucchero semolato', 'Uova medie', 'Lievito in polvere per dolci', 'Succo di limone', 'Scorza di limone', 'Zucchero a velo']",90,4.2,Dolci,"Per preparare la torta al limone, per prima cosa tagliate il burro ammorbidito a cubetti, poi trasferitelo in una planetaria munita di fruste (se non avete una planetaria, potete usare uno sbattitore elettrico); azionate la planetaria e aggiungete metà dose di zucchero poco alla volta, fino ad ottenere un composto liscio e spumoso 1 . Prendete le uova e separate gli albumi dai tuorli; mentre la planetaria è in funzione, aggiungete un tuorlo alla volta al composto di burro e zucchero 2 , aspettando che venga assorbito prima di aggiungere il successivo. Quando i tuorli saranno ben amalgamati, aggiungete la scorza dei due limoni grattugiata 3 e mescolate ancora con le fruste.
In una ciotola, setacciate insieme la farina, l’amido di mais e il lievito, poi aggiungeteli al composto, una cucchiaiata alla volta, mentre la planetaria è in funzione 4 . Quando le polveri si sono ben amalgamate, spegnete la planetaria e trasferite il composto in una ciotola 5 . Pulite perfettamente la planetaria e utilizzatela nuovamente per montare gli albumi (potete in alternativa usare una ciotola e lo sbattitore elettrico perfettamente puliti): versate gli albumi 6 e cominciate a sbattere con le fruste,
poi unite la restante dose di zucchero 7 e il succo di limone a filo 8 e continuate a montare fino ad ottenere una consistenza densa e spumosa 9 .
A questo punto potete incorporare gli albumi montati a neve al composto che avevate messo da parte: iniziate ad aggiungere 2 mestolate 10 e mescolate energicamente per ammorbidire il composto, poi unite il resto degli albumi montati e mescolate dal basso verso l’alto con una spatola per mantenere l’aria all’interno ed evitare che si smonti 11 . Quando tutti gli ingredienti sono ben amalgamati, versate il composto in una tortiera del diametro di 22-24 cm, foderata con carta forno 12 ,
livellate la superficie 13 e cuocete in forno statico preriscaldato a 180° per un’ora; se la torta dovesse scurirsi troppo durante la cottura, dopo circa 40 minuti potete aprire il forno e coprirla con un foglio di alluminio, poi proseguite la cottura. Quando la torta sarà cotta (verificate sempre con uno stecchino), sfornatela e fatela intiepidire nella teglia 14 , poi trasferitela su un piatto da portata e fatela raffreddare completamente, quindi spolverizzate la superficie con zucchero a velo. La vostra torta al limone è pronta per essere gustata 15 !"
Pane di semola,"['Semola dirano duro rimacinata', 'Acqua', 'Lievito di birra fresco', 'Semola dirano duro rimacinata', 'Farina', 'Acqua', 'Lievito di birra fresco', 'Sale', ""Olio  d'oliva per ungere la ciotola"", 'Semola dirano duro rimacinata']",65,4.7,Lievitati,"Per preparare il pane di semola come prima cosa realizzate la biga. Versate l'acqua in una ciotola, aggiungete il lievito sbriciolato 1 e mescolate fino a farlo sciogliere 2 . Versate la semola in un'altra ciotola e aggiungete l’acqua in cui avrete sciolto il lievito 3 .
Iimpastare con le mani 4 , fino ad ottenere delle briociole omogenee, senza lasciare farina nella ciotola. Coprite con pellicola 5 e lasciate lievitare a temperatura ambiente per 18 ore. È normale che dopo il tempo indicato la biga non avrà aumentato il suo volume 6 .
Passato questo tempo realizzate l'impasto. Se la ciotola in cui avete realizzato la biga dovesse essere piccola, trasferitela in una più grande. Aggiungete la semola 7 , la farina 0 e il lievito sbriciolato 8 . Unite anche l'acqua 9 .
Impastate direttamente con le mani 10 fino a che non avrete ottenuto un composto omogeneo 11 , poi aggiungete il sale 12 e continuate ad impastare.
Trasferite l’impasto sul banco da lavoro 13 e impastate fino a che non risulterà liscio 14 . Trasferitelo in una ciotola, coprite con pellicola e lasciatelo riposare per 10 minuti.
Trasferite nuovamente l'impasto sul banco da lavoro 16 . Prendete uno dei lembi di pasta, allungatelo delicatamente e portatelo verso il centro 17 . Ripetete questa operazione per gli altri 3 lati 18 .
Capovolgete l'impasto e pirlatelo in modo da dargli una forma sferica 19 . Trasferitelo in una ciotola unta, coprite con pellicola 20 e lasciate lievitare per 3 ore a temperatura ambiente, o comunque sino a che non sarà raddoppiato di volume 21 .
Adesso trasferite l'impasto sul piano di lavoro leggermente infarinato con la semola 22 . Appiattitelo delicatamente con le mani 23 . Sollevate il lembo sinistro e ripiegatelo verso l'inerno. Fare la stessa cosa con il lembo destro 24 .
Sollevate poi la parte centrale e ribaltatela sopra 25 , quindi arrotolate l'impasto 26 fino a formare un filone, ben chiuso 27 .
Ora posizionatelo su una teglia con carta da forno 29 . Lasciatelo lievitare per circa mezz’ora, lasciandolo scoperto 29 . A questo punto spolverate con un setaccino la farina di semola sul filone 30 .
Utilizzando una lametta realizzate il primo taglio obliquo sul filone 31 , poi realizzatene altri in maniera parallela 32 . Cuocete in forno statico preriscaldato a 250° per 35 minuti nel ripiano medio. Passato il tempo aprite il forno per far uscire l’umidità che si sarà creata e abbassatelo a 180°. Richiudetelo e terminate la cottura per altri 10 minuti. Il pane sarà poi pronto per essere sfornato 33 . Trasferitelo su una gratella e lasciatelo raffreddare completamente, prima di tagliarlo."
Panini cinesi al vapore (mantou),"['Farina di frumento', 'Acqua', 'Zucchero', 'Lievito di birra secco']",38,4.2,Lievitati,"Per preparare i mantou versate l’acqua nella ciotola di una planetaria munita di gancio 1 , aggiungete il lievito secco 2 e mescolate brevemente con un cucchiaio per scioglierlo 3 .
Unite la farina di frumento 4 e lo zucchero 5 e azionate la planetaria a velocità minima per 5-6 minuti 6 .
Quando il composto risulterà compatto 7 , trasferitelo sul piano di lavoro leggermente infarinato e lavoratelo brevemente per dargli una forma tonda e liscia 8 . Mettete l’impasto in una ciotola, coprite con pellicola 9 e lasciate riposare a temperatura ambiente per circa 40 minuti.
Trascorso il tempo di lievitazione 9 , trasferite l’impasto sul piano di lavoro spolverizzato con poca farina e appiattitelo leggermente con le dita. Dividete l’impasto in 3 porzioni con l’aiuto di un tarocco 10 , poi formate dei filoncini 12 .
Eliminate le estremità dei filoncini con il tarocco, poi tagliateli a pezzetti del peso di circa 30-40 g l’uno 13 . Pareggiate i bordi dell’impasto per ottenere una forma rettangolare, poi adagiate ciascun pezzetto su un quadrato di carta forno 14 . Trasferite i panini con la loro base di carta forno in un vassoio, coprite con pellicola e lasciate lievitare a temperatura ambiente per altri 40 minuti 15 .
Trascorso questo tempo, siete pronti per la cottura 16 : portate a bollore l’acqua nella vaporiera, adagiate i panini all’interno e chiudete con il coperchio. Cuocete per 8-9 minuti, poi spegnete il fuoco e lasciateli riposare chiusi col coperchio per un paio di minuti: in questo modo l’impasto non si creperà ma rimarrà bello liscio 17 . Servite i vostri mantou nel tipico cestino di bambù 18 !"
Patate al forno ripiene,"['Patate', 'Manzo macinato', 'Provola dolce', 'Parmigiano Reggiano', 'Aglio', ""Olio  d'oliva"", 'Vino bianco', 'Sale', 'Pepe nero']",95,4.3,Secondi piatti,"Per preparare le patate al forno ripiene iniziate lavando e asciugando bene i tuberi. Vi consigliamo di scegliere patate della medesima dimensione in modo tale da ottenere in seguito una cottura uniforme. Disponete le patate su una leccarda ricoperta con carta forno 1 . Fatele cuocere in forno statico preriscaldato a 190°C per circa 1 ora (i tempi di cottura dipendono dalla dimensione delle patate, per regolarvi al meglio testate la cottura infilzando le patate con uno stecchino). Nel frattempo scaldate in una padella l’olio di oliva con lo spicchio di aglio sbucciato 2 , una volta che l’aglio avrà insaporito l’olio, eliminatelo 3
e aggiungete la carne macinata 4 , schiacciatela per sbriciolarla e rosolatela per circa 10 minuti, quindi sfumate con il vino bianco 5 e, una volta evaporato l’alcol spegnete il fuoco e tenete da parte 6 .
Quando le patate avranno terminato la cottura (accertatevi che siano morbide infilzandole con uno stecchino) sfornatele 7 , lasciatele appena intiepidire, poi dividetele a metà nel senso della lunghezza 8 . Con un cucchiaino prelevate la polpa della patata lasciando un bordo di circa mezzo centimetro 9 e raccoglietela in una ciotola.
Una volta che avrete scavato tutte le patate 10 , schiacciate la polpa con una forchetta 11 per ottenere una purea. Aggiungete il macinato rosolato 12 , salate e pepate.
Tagliate a cubetti la provola 13 e unitela al ripieno 14 , mescolate per amalgamare gli ingredienti. Ora farcite le vostre patate con il ripieno aiutandovi con un cucchiaio 15
Insaporite le patate con il formaggio grattugiato 16 quindi adagiatele su un leccarda ricoperta con carta forno 17 e passatele sotto il grill per 5 minuti per far dorare la superficie 18 . Servite le vostre patate al forno ripiene ben calde!"
Brutti ma buoni,"['Nocciole intere spellate', 'Zucchero', 'Albumi', 'Baccello di vaniglia la polpa']",75,4.1,Dolci,"Per realizzare i brutti ma buoni per prima cosa tritate le nocciole in un mixer 1 fino ad ottenere una granella non eccessivamente fine 2 . Tenete da parte e versate gli albumi nella ciotola di una planetaria munita di frusta 3 .
Cominciate a montare e unite i semi della bacca di vaniglia 4 . Quando gli albumi diventeranno chiari e spumosi aggiungete lo zucchero, poco per volta 5 . Continuate a montare a velocità media per altri 5 minuti: dovrete ottenere un composto fermo e sodo, con la classica punta 6 .
Incorporate la granella di nocciole alla meringa 7 , mescolando delicatamente dal basso verso l’alto con una spatola 8 . Trasferite il composto in una pentola di acciaio e cuocete a fuoco medio o medio-alto per circa 15 minuti, mescolando continuamente con una spatola morbida 9 .
Quando il composto si sarà compattato 10 , formate dei mucchietti su una leccarda foderata con carta forno aiutandovi con 2 cucchiai e distanziandoli uno dall’altro 11 . Cuocete in forno statico preriscaldato a 130° per 40-45 minuti: dovranno asciugarsi senza bruciare. Una volta cotti, sfornate e lasciate raffreddare completamente i brutti ma buoni prima di gustarli 12 !"
Pizza a lunga lievitazione,"['Semola dirano duro rimacinata', 'Farina', 'Acqua', 'Lievito di birra fresco', 'Sale', ""Olio  d'oliva"", 'Passata di pomodoro', 'Mozzarella fior di latte', ""Olio  d'oliva"", 'Sale', 'Origano']",70,4.7,Lievitati,"Per preparare la pizza a lunga lievitazione versate in una ciotola la semola e la farina 00 1 . Aggiungete il lievito di birra fresco sbriciolato 2 e versando l'acqua a temperatura ambiente, iniziate ad impastare a mano 3 .
Quando avrete ottenuto un composto omogeneo aggiungete il sale 4 e l'olio 5 . Impastate ancora un paio di minuti, fino a farlo assorbire completamente 6 .
Trasferite l'impasto sul piano 7 e utilizzate la ciotola per coprirlo 8 . Attendete 15 minuti, poi togliete la ciotola 9 .
A questo punto fate un giro di pieghe slap&fold: sollevate l'impasto, sbattetelo delicatamente sul piano e allungatelo delicatamente in avanti 10 . Ripetete questa operazione fino a che non risulterà liscio. Pirlate l'impasto, ruotandolo sul piano in modo da ottenere una forma sferica 11 . Trasferite l'impasto in una ciotola, coprite con pellicola 12 e lasciate lievitare per 2 ore a temperatura ambiente. Trasferite poi in frigo per 24 ore.
A questo punto estraete l'impasto dal frigo 13 , capovolgetelo su un piano 14 e dividete l'impasto a metà 15 . Otterrete due porzioni da circa 300 g.
Modellate le due porzioni di impasto 16 e pirlatele in modo da ottenere una forma sferica 17 . Trasferite su un vassoio 18 , coprite con un canovaccio e lasciate lievitare per altre due ore.
Nel frattempo tagliate la mozzarella a fette 19 e trasferitele in un colino posto su una ciotola, per togliere i liquidi in eccesso 20 . Condite anche la passata di pomodoro con sale, olio e origano 21 ; in questo modo si insaporirà. Sistemate nel ripiano basso del forno la pietra refrattaria, accendetelo in modalità statica e scaldatelo fino alla temperatura di 250°.
Riprendete uno dei due panetti lievitati e trasferitelo su un piano spolverizzato con la semola 22 . Aggiungete sopra ancora un pizzico di semola e stendetelo schiacciandolo delicatamente con le mani, partendo dal centro e allargandolo verso l'esterno 23 , senza schiacciare troppo i bordi 24 .
Trasferite delicatamente l'impasto su una pala e conditelo con la passata di pomodoro 25 . Posizionate sulla pietra e cuocete a 250° per 10 minuti. Estraete la pizza dal forno, sistemate sopra le fettine di mozzarella 26 e cuocete alla stessa temperatura per altri 5 minuti, fino a che la mozzarella non sarà sciolta. Sfornate, servite la vostra pizza 27 e nel frattempo realizzate l'altra allo stesso modo."
Millefoglie,"['Pasta Sfoglia', 'Zucchero', 'Farina', 'Zucchero', 'Sale', 'Tuorli', 'Latte intero', 'Panna fresca liquida', 'Acqua', 'Baccello di vaniglia', 'Zucchero a velo']",100,4.3,Dolci,"Per preparare la millefoglie per prima cosa realizzate la pasta sfoglia . Quando avrà ben riposato potrete stenderla. Invece di utilizzare la farina per stendere la sfoglia, aiutatevi con lo zucchero semolato. Cospargete quindi il panetto di sfoglia con lo zucchero 1 e con un mattarello iniziate a stenderla delicatamente 2 . Poi girate il panetto e proseguite a stendere la pasta 3 .
Non appena l'avrete allargata abbastanza, continuate a stenderla giocando solo sulla lunghezza, e prestando attenzione agli angoli. Cercate di ricavare un rettangolo preciso, in modo da ottenere poi una torta più precisa, aiutandovi sempre con lo zucchero. Dovrete ottenere un rettangolo di circa 58x25 cm, spesso 3 mm 4 . Passate una mano delicatamente sotto la sfoglia 5 per farle prendere aria e aiutarla a rilassarsi; poi lasciatela riposare per circa 5 minuti sul piano. Quando sarà totalmente rilassata potrete tagliarla. Dovrete ottenere 3 rettangoli di egual misura 6 .
Trasferite poi i rettangoli su due leccarde foderate con carta forno 7 e prima di infornarla bucherellate la sfoglia con una forchetta 8 9 . Inserite entrambe le placche al centro del forno preriscaldato a 190° e cuocete in modalità statica per 15 minuti. Poi abbassate il forno a 170° e proseguite la cottura per altri 35 minuti, in questo modo riuscirete ad asciugare la sfoglia all'interno e ottenere un risultato ben caramellato. Controllate di tanto in tanto la cottura che potrebbe variare in base al vostro forno. Laddove necessario potete invertire le due placche a metà cottura.
Nel frattempo dedicatevi alla preparazione della crema alla vaniglia. Versate in una ciotola la farina, lo zucchero 10 e un pizzico di sale 11 . A questo punto mescolate con la frusta 12 : in questo modo eviterete i grumi.
Aggiungete i tuorli poco per volta, sempre mescolando 13 14 e continuate fino a che non avrete incorporato tutti i tuorli. Mescolate energicamente fino ad ottenere una pastella liscia. Adesso scaldate i liquidi. Versate in un pentolino il latte, la panna 15
e l'acqua 16 . Incidete un baccello di vaniglia per il lungo e prelevate solo da una delle metà i semini 17 , quindi inserite nel pentolino sia i semi che il baccello svuotato 18 . Spostate sul fuoco e scaldate il tutto, senza portare a bollore per evitare poi uno shock termico alle uova.
Versate poi un pò di liquido caldo all'interno della pastella aiutandovi con un mestolino 19 , mescolate poi con una frusta per stemperarla 20 . Versate poi di nuovo il tutto all'interno del pentolino, girando sempre con una frusta in modo che la pastella non finisca sul fondo, cuocendosi troppo rapidamente 21 .
Mescolate sempre con la frusta fino a farla addensare 22 , andando bene anche sui bordi del pentolino, in modo da non far attaccare la crema. Ci vorrà un po' perchè la farina gelifica una volta raggiunti i 90°. Versate la crema poi all'interno di una pirofila bassa e larga 23 e coprite con la pellicola a contatto 24 ; in questo modo non si creerà la pellicina in superficie. Lasciate raffreddare in frigorifero.
A questo punto la sfoglia sarà cotta e potrete sfornarla 25 . Una volta che la crema sarà fredda, eliminate il baccello di vaniglia 26 e trasferitela all'interno di una ciotola. Per renderla liscia e lucida giratela rapidamente con una frusta 27 . Poi trasferitela in un sac-à-poche senza bocchetta.
Non vi resta che comporre il dolce. Trasferite il primo rettangolo di sfoglia su un tagliere e rifilatelo con un coltello per ottenere dei bordi più precisi 28 . Poi trasferitelo su un piatto da portata 29 e riprendete la crema. Realizzate dei ciuffetti su tutta la superficie, lasciando il bordo esterno libero 30 ; in questo modo sarete certi che con il peso degli altri strati la crema non fuoriuscirà.
Rifilate poi anche il secondo strato di sfoglia 31 e posizionatelo sopra alla crema 32 . Poi sempre con il sac-à-poche sistemate la crema come fatto in precedenza, fino a terminarla 33 .
Prendete l'ultimo strato rifilatelo come fatto prima e posizionatelo sopra alla crema 34 . Spolverizzate con lo zucchero a velo 35 e servite la vostra millefoglie 36 ."
Ramen,"['Noodles', 'Acqua  l', 'Alga kombu', 'Pancia di maiale', 'Pollo carcasse intere', 'Zenzero fresco', 'Cipollotto fresco la parte verde', 'Aglio', 'Niboshi', 'Katsuobushi', 'Tamari  l', 'Sake', 'Mirin', 'Zenzero fresco', 'Cipollotto fresco la parte verde', 'Aglio  spicchi', 'Uova', 'Mirin', 'Salsa di soia', 'Sake', 'Cannella in stecche', 'Anice stellato', 'Pepe', 'Cipolle dorate', 'Cipollotto fresco la parte verde', 'Strutto', 'Algari', 'Pepe nero']",380,4.1,Primi piatti,"Per realizzare il ramen iniziate dalle uova marinate: cuocete le uova intere in acqua bollente per 7 minuti 1 . Nel frattempo preparate la marinatura versando in una ciotola la salsa di soia, il sake e il mirin 2 , poi aggiungete la stecca di cannella 3 .
Unite anche l’anice stellato 4 e i grani di pepe 5 . Trascorso il tempo di cottura, scolate le uova e trasferitele in una ciotola con acqua fredda 6 .
Sbucciate le uova e immergetele nella marinatura 7 , poi coprite con un foglio di carta assorbente (non disegnato) 8 e lasciate marinare per almeno 12 ore in frigorifero.
Intanto ammollate l’alga kombu in una pentola con 3 litri di acqua 10 e lasciatela a temperatura ambiente per 12 ore 11 . Trascorso questo tempo prelevate l’alga con le pinze 12 e utilizzate l’acqua per il brodo.
Aggiungete le carcasse di pollo 13 e la pancia di maiale 14 , coprite con il coperchio e iniziate a cuocere a fiamma alta per circa 15-20 minuti. A questo punto eliminate la schiuma in superficie 15 , poi abbassate la fiamma e cuocete senza coperchio per circa un’ora e mezza.
Nel frattempo preparate gli ingredienti che vi serviranno sia per il brodo che per la carne di maiale: pelate e tagliate lo zenzero a tocchetti 16 , poi tagliate grossolanamente anche la parte verde del cipollotto 17 . Infine sbucciate gli spicchi di aglio 18 .
Dopo un’ora e mezza verificate che la carne di maiale sia cotta infilzandola con una forchetta, se non esce sangue potete prelevarla dal brodo che dovrà continuare a cuocere per altre 3-4 ore 19 . Trasferite il maiale in un’altra pentola e aggiungete il sake 20 e il mirin 21 .
Versate anche il tamari 22 , poi unite lo zenzero, il cipollotto e l’aglio 23 . Coprite con il coperchio e cuocete a fuoco dolce per 2 ore 24 .
Trascorso questo tempo prelevate la pancia di maiale 25 e tenetela da parte in caldo, poi filtrate il liquido di cottura 26 e tenete da parte anche quello 27 .
Quando mancherà un’ora alla fine della cottura del brodo versate all’interno lo zenzero, il cipollotto e l’aglio 28 . Aggiungete anche i niboshi 29 e proseguite a cuocere il brodo. Terminato il tempo di cottura spegnete il fuoco e aggiungete una manciata di katsuobushi 30 .
Coprite con il coperchio 31 e lasciate in infusione per 15 minuti. Dopodiché filtrate il brodo con un cinesino 32 e tenetelo in caldo 33 .
In ultimo preparate gli ingredienti per comporre il piatto: tagliate una cipolla a brunoise 34 , immergetela brevemente nell’acqua fredda 35 e scolatela bene, poi affettate sottilmente la parte verde del cipollotto 36 .
Tagliate la carne di maiale a fettine 37 . Nel frattempo fate sciogliere il lardo in un pentolino 38 e portate a bollore una pentola di acqua non salata per cuocere i noodles. Iniziate a comporre le ciotole versando un cucchiaio di strutto all’interno di ciascuna 39 .
Aggiungete anche 2 mestoli del liquido di cottura del maiale 40 e un mestolo di brodo 41 . Tuffate i noodles nell’acqua bollente 42 e cuoceteli per 30 secondi.
Scolate i noodles molto bene e versateli nelle ciotole, sistemandoli con le pinze 43 . Adagiate 2 fette di maiale 44 e l’uovo marinato tagliato a metà per il lungo 45 .
Completate con un po’ di cipolla 46 e cipollotto tritati 47 , un pezzetto di alga nori e una macinata di pepe. Il vostro ramen è pronto per essere servito 48 !"
